analysis_universe	dataset	GSM	donor_id	gene	raw_pseudobulk_count	CPM	log2_CPM_plus_0_5	population_z_ddof0	equal_weight	final_six_gene_score
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	KDR	125.0	229.50940070505288	7.845549016480914	-0.07289300542375944	0.16666666666666666	0.455234943374716
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	VEGFA	1.0	1.836075205640423	1.2240867198763234	0.4958386838641694	0.16666666666666666	0.455234943374716
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	MAPK1	44.0	80.78730904817861	6.344958224525438	0.20487079137166567	0.16666666666666666	0.455234943374716
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	AKT1	21.0	38.55757931844888	5.287530632604415	0.46192415096436223	0.16666666666666666	0.455234943374716
EXPANDED_DONOR_9	GSE245561	GSM7845000	Sample 3	NOS3	57.0	104.65628672150412	6.716391293299618	0.9714059900298352	0.16666666666666666	0.455234943374716
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	FLT1	2583.0	1281.4724778607397	10.32414957432542	1.201790959099978	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	KDR	491.0	243.59387790539031	7.931292301254736	0.09614310295343491	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	VEGFA	1.0	0.49611787760771964	-0.005611618279336255	-0.42634161393276415	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	MAPK1	171.0	84.83615707092004	6.415085238241488	0.31754035049268786	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	AKT1	115.0	57.05355592488775	5.84683316237114	0.7373992148025061	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845001	Sample 4	NOS3	181.0	89.79733584699724	6.4966115176209005	0.5126792621222528	0.16666666666666666	0.4065352125896826
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	FLT1	10799.0	1296.4594136411447	10.340917618025937	1.2285498858282757	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	KDR	2326.0	279.24480008605445	8.127967504319434	0.48387271965807693	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	VEGFA	19.0	2.2810194332050884	1.4756138259829292	0.6844648976405346	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	MAPK1	893.0	107.20791336063914	6.750980439162415	0.8572063392921855	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	AKT1	358.0	42.97920826775903	5.442253764816122	0.5381304301332311	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845002	Sample 2	NOS3	355.0	42.61904730462138	5.430253397651204	-1.7130349540322982	0.16666666666666666	0.34653155308666755
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	FLT1	2551.0	713.6780268579059	9.48013993692918	-0.14510391119223182	0.16666666666666666	0.49404588995746607
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	KDR	922.0	257.94243071853754	8.013699138915996	0.2586016695767588	0.16666666666666666	0.49404588995746607
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	VEGFA	5.0	1.3988201232024813	0.9251032442683286	0.2716237995974544	0.16666666666666666	0.49404588995746607
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	MAPK1	366.0	102.39363301842162	6.685009901871114	0.7512147825764783	0.16666666666666666	0.49404588995746607
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	AKT1	149.0	41.68483967143394	5.398652713239591	0.5166554647482815	0.16666666666666666	0.49404588995746607
EXPANDED_DONOR_9	GSE245561	GSM7845003	Sample 1	NOS3	419.0	117.22112632436793	6.879229440553425	1.3112835344380556	0.16666666666666666	0.49404588995746607
