analysis_universe	model	left_out_dataset	left_out_GSM	left_out_donor_id	n_remaining	estimate	standard_error	residual_df	exact_ols_p	ci95_low	ci95_high	design_rank	condition_number	status
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845003	Sample 1	6	-2.0108733327092563	4.413490422279833	2	0.6933497084542115	-21.000589945854685	16.978843280436173	4	29.240116817376368	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE165784	GSM5049905	Case 1	8	0.5659113228500346	0.3365868819661385	6	0.1436958980128708	-0.25768710757284574	1.389509753272915	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE165784	GSM5049906	Case 2	8	0.5658313441303657	0.336609291315521	6	0.14376519666619195	-0.2578219199950951	1.3894846082558265	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE165784	GSM5277737	Case 3	8	0.5717312087848788	0.3349436332930714	6	0.1387027183880832	-0.2478463369854954	1.391308754555253	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE165784	GSM5690478	Case 4	8	0.9495956364177589	0.12797664324422073	6	0.00030816283766035005	0.6364480713937222	1.2627432014417956	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE165784	GSM5690479	Case 5	8	0.594636352737218	0.32822949491765113	6	0.12000072254413147	-0.208512288272113	1.3977849937465492	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE245561	GSM7845000	Sample 3	8	0.5844323839565244	0.331269977657422	6	0.12814522563466688	-0.22615605030195374	1.3950208182150026	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE245561	GSM7845001	Sample 4	8	0.5897680347564085	0.32969017404718115	6	0.12384900222238858	-0.21695475932568975	1.3964908288385067	2	1.0	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE245561	GSM7845002	Sample 2	8	0.6137280342116375	0.3223191741174987	6	0.10556795171878017	-0.17495857278773197	1.4024146412110068	2	1.0000000000000002	ESTIMABLE
EXPANDED_DONOR_9	M0	GSE245561	GSM7845003	Sample 1	8	0.5855293301799402	0.33094697548575935	6	0.12725526475690827	-0.22426874623675097	1.3953274065966315	2	1.0000000000000002	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE165784	GSM5049905	Case 1	8	-0.4073821457686922	2.123480387381767	5	0.8554103789601349	-5.865962257902227	5.0511979663648425	3	17.59049847849887	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE165784	GSM5049906	Case 2	8	-0.4078201329168386	2.1235940823646393	5	0.8552648319224354	-5.866692507308148	5.051052241474471	3	17.59049847849887	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE165784	GSM5277737	Case 3	8	-0.391618600541049	2.1136020949697523	5	0.8602871740283363	-5.8248057536331554	5.041568552551057	3	17.59049847849887	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE165784	GSM5690478	Case 4	8	-0.4202770610223554	0.5418480960999983	5	0.47303536060611523	-1.8131419345311313	0.9725878124864205	3	17.59049847849887	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE165784	GSM5690479	Case 5	8	-0.37226213648083345	2.069060774490745	5	0.8642810566321316	-5.690952180214349	4.946427907252681	3	17.59049847849887	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE245561	GSM7845000	Sample 3	8	-0.38167259672001563	2.229066798156228	5	0.8707603969775525	-6.111671218480415	5.348326025040384	3	17.722757958064165	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE245561	GSM7845001	Sample 4	8	-0.35688248552126445	2.0254079163375924	5	0.8670490318473612	-5.563359285012676	4.8495943139701465	3	16.221329233530085	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE245561	GSM7845002	Sample 2	8	-0.34655957988816266	3.440254722714496	5	0.9236742676931955	-9.190015880060093	8.496896720283766	3	27.854420297754867	ESTIMABLE
EXPANDED_DONOR_9	M1	GSE245561	GSM7845003	Sample 1	8	-0.36163988091514787	2.8774205509369404	5	0.9048808771816861	-7.758284882640284	7.035005120809988	3	22.745259095788995	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE165784	GSM5049905	Case 1	8	-1.3237911913820826	2.4430951907571767	4	0.6166938901355848	-8.106910875292115	5.45932849252795	4	25.978270337787112	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE165784	GSM5049906	Case 2	8	-0.6642546925800332	2.5415766619853595	4	0.8067237826537303	-7.720802775234231	6.392293390074165	4	26.63658455565108	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE165784	GSM5277737	Case 3	8	0.07831436436526706	2.7733699515742156	4	0.978825032699257	-7.621795062585605	7.77842379131614	4	33.81399964455492	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE165784	GSM5690478	Case 4	8	-0.27786851826249903	0.6284376343312632	4	0.681229852451185	-2.0226911120236157	1.4669540754986174	4	26.718175009474425	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE165784	GSM5690479	Case 5	8	-0.4976624002656147	2.48270883582857	4	0.8509068185943423	-7.39076719513316	6.395442394601931	4	27.647450481664926	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE245561	GSM7845000	Sample 3	8	-0.545369012079715	2.5528769552913686	4	0.8412834426135914	-7.633291738770682	6.542553714611252	4	25.68782160215323	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE245561	GSM7845001	Sample 4	8	-0.46215303033725474	2.3880331499808896	4	0.8559749734519176	-7.092395980651764	6.168089919977254	4	26.630870306572522	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE245561	GSM7845002	Sample 2	8	-0.6038686841589285	4.092612765233056	4	0.889835908246572	-11.966783363660255	10.759045995342397	4	44.158367135253854	ESTIMABLE
EXPANDED_DONOR_9	M2	GSE245561	GSM7845003	Sample 1	8	-0.6673449982096057	3.556302339186787	4	0.8602844845688136	-10.541223220448224	9.206533224029013	4	36.34447542903714	ESTIMABLE
